Step;name: no_q_coord - Train/train_Tot_reward;name: no_q_coord - Train/train_Tot_reward__MIN;name: no_q_coord - Train/train_Tot_reward__MAX;name: no_coord_w - Train/train_Tot_reward;name: no_coord_w - Train/train_Tot_reward__MIN;name: no_coord_w - Train/train_Tot_reward__MAX;name: inverse_mask - Train/train_Tot_reward;name: inverse_mask - Train/train_Tot_reward__MIN;name: inverse_mask - Train/train_Tot_reward__MAX;name: true_mask - Train/train_Tot_reward;name: true_mask - Train/train_Tot_reward__MIN;name: true_mask - Train/train_Tot_reward__MAX;name: eval - Train/train_Tot_reward;name: eval - Train/train_Tot_reward__MIN;name: eval - Train/train_Tot_reward__MAX
3716;;;;;;;;;;;;;"14,92";"14,92";"14,92"
3720;;;;"23,7";"23,7";"23,7";;;;;;;;;
3731;6;0;12;;;;;;;;;;28.860.000.000.000.000;"28,86";"28,86"
3747;;;;;;;;;;;;;16.520.000.000.000.000;16.520.000.000.000.000;16.520.000.000.000.000
3748;;;;;;;;;;;;;"28,04";"28,04";"28,04"
3764;;;;;;;"17,64";"17,64";"17,64";;;;;;
3776;;;;;;;;;;23.259.999.999.999.900;23.259.999.999.999.900;23.259.999.999.999.900;;;
3780;;;;;;;;;;;;;17.900.000.000.000.000;17.900.000.000.000.000;17.900.000.000.000.000
3783;;;;"8,5";"8,5";"8,5";;;;;;;;;
3794;"15,57";"15,52";"15,62";;;;;;;;;;;;
3795;;;;;;;;;;;;;"17,88";"17,88";"17,88"
3810;;;;;;;;;;;;;"24,62";"24,62";"24,62"
3811;;;;;;;;;;;;;22.299.999.999.999.900;22.299.999.999.999.900;22.299.999.999.999.900
3825;;;;;;;;;;30.720.000.000.000.000;30.720.000.000.000.000;30.720.000.000.000.000;;;
3827;;;;;;;"7,5";"7,5";"7,5";;;;;;
3830;;;;;;;;;;;;;"29,26";"29,26";"29,26"
3846;;;;23.979.999.999.999.900;23.979.999.999.999.900;23.979.999.999.999.900;;;;;;;"28,72";"28,72";"28,72"
3848;;;;;;;;;;;;;33.379.999.999.999.900;33.379.999.999.999.900;33.379.999.999.999.900
3857;"19,42";"15,5";"23,34";;;;;;;;;;;;
3860;;;;;;;;;;;;;30.940.000.000.000.000;30.940.000.000.000.000;30.940.000.000.000.000
3888;;;;;;;;;;"20,62";"20,62";"20,62";;;
3890;;;;;;;"15,16";"15,16";"15,16";;;;"32,86";"32,86";"32,86"
3891;;;;;;;;;;;;;"30,04";"30,04";"30,04"
3893;;;;;;;;;;;;;"17,22";"17,22";"17,22"
3895;;;;;;;;;;;;;"32,64";"32,64";"32,64"
3910;;;;"19,2";"19,2";"19,2";;;;;;;;;
3921;22.630.000.000.000.000;"21,1";"24,16";;;;;;;;;;;;
3922;;;;;;;;;;;;;"32,96";"32,96";"32,96"
3926;;;;;;;;;;;;;"33,06";"33,06";"33,06"
3937;;;;;;;;;;"29,6";"29,6";"29,6";;;
3953;;;;;;;;;;;;;"13,36";"13,36";"13,36"
3954;;;;;;;"11,02";"11,02";"11,02";;;;;;
3957;;;;;;;;;;"35,32";"35,32";"35,32";;;
3958;;;;;;;;;;;;;"5,84";"5,84";"5,84"
3959;;;;;;;;;;;;;"33,86";"33,86";"33,86"
3965;;;;;;;;;;;;;"32,72";"32,72";"32,72"
3973;;;;"13,84";"13,84";"13,84";;;;;;;;;
3984;"13,87";"6,04";"21,7";;;;;;;;;;;;
3991;;;;;;;;;;"33,72";"33,72";"33,72";;;
4002;;;;;;;;;;;;;"31,96";"31,96";"31,96"
4016;;;;;;;;;;;;;"18,04";"18,04";"18,04"
4017;;;;;;;"21,48";"21,48";"21,48";;;;;;
4022;;;;;;;;;;;;;24.880.000.000.000.000;24.880.000.000.000.000;24.880.000.000.000.000
4024;;;;;;;;;;"33,24";"33,24";"33,24";;;
4029;;;;;;;;;;;;;"26,36";"26,36";"26,36"
4036;;;;"5,72";"5,72";"5,72";;;;;;;;;
4045;;;;;;;;;;;;;34.660.000.000.000.000;34.660.000.000.000.000;34.660.000.000.000.000
4047;"20,84";"16,68";25;;;;;;;;;;;;
4049;;;;;;;;;;;;;"30,64";"30,64";"30,64"
4066;;;;;;;;;;;;;28.980.000.000.000.000;28.980.000.000.000.000;28.980.000.000.000.000
4079;;;;;;;;;;"29,68";"29,68";"29,68";;;
4080;;;;;;;16.200.000.000.000.000;16.200.000.000.000.000;16.200.000.000.000.000;;;;;;
4092;;;;;;;;;;;;;"15,92";"15,92";"15,92"
4099;;;;"15,74";"15,74";"15,74";;;;;;;;;
4108;;;;;;;;;;;;;24.536.666.666.666.600;23.880.000.000.000.000;"27,82"
4110;15.549.999.999.999.900;"14,04";"17,06";;;;;;;;;;;;
4112;;;;;;;;;;;;;"30,5";"30,5";"30,5"
4128;;;;;;;;;;"28,22";"28,22";"28,22";;;
4143;;;;;;;"24,7";"24,7";"24,7";;;;;;
4155;;;;;;;;;;;;;"23,91";19.240.000.000.000.000;"28,58"
4163;;;;"22,46";"22,46";"22,46";;;;;;;;;
4164;;;;;;;;;;;;;"29,14";"29,14";"29,14"
4171;;;;;;;;;;;;;"23,28";"23,28";"23,28"
4174;"19,64";15.719.999.999.999.900;"23,56";;;;;;;;;;;;
4175;;;;;;;"34,6";"34,6";"34,6";;;;;;
4184;;;;;;;;;;"30,6";"30,6";"30,6";;;
4195;;;;;;;;;;;;;32.160.000.000.000.000;32.160.000.000.000.000;32.160.000.000.000.000
4204;;;;33.019.999.999.999.900;33.019.999.999.999.900;33.019.999.999.999.900;;;;;;;;;
4210;;;;;;;;;;;;;"29,86";"29,86";"29,86"
4213;;;;;;;"31,64";"31,64";"31,64";;;;"26,6";"26,6";"26,6"
4218;;;;;;;;;;33.620.000.000.000.000;33.620.000.000.000.000;33.620.000.000.000.000;;;
4234;;;;;;;;;;;;;20.740.000.000.000.000;20.740.000.000.000.000;20.740.000.000.000.000
4237;"22,09";"21,66";"22,52";;;;;;;;;;;;
4243;;;;;;;;;;;;;32.879.999.999.999.900;32.879.999.999.999.900;32.879.999.999.999.900
4252;;;;"28,86";"28,86";"28,86";;;;"33,08";"33,08";"33,08";;;
4254;;;;;;;;;;;;;"30,62";"30,62";"30,62"
4259;;;;;;;;;;;;;22.099.999.999.999.900;22.099.999.999.999.900;22.099.999.999.999.900
4276;;;;;;;"9,24";"9,24";"9,24";;;;;;
4285;;;;;;;;;;;;;32.160.000.000.000.000;32.160.000.000.000.000;32.160.000.000.000.000
4298;;;;;;;;;;30.959.999.999.999.900;30.959.999.999.999.900;30.959.999.999.999.900;16.740.000.000.000.000;16.740.000.000.000.000;16.740.000.000.000.000
4299;;;;;;;;;;;;;"28,66";"28,66";"28,66"
4300;"19,36";14.959.999.999.999.900;23.759.999.999.999.900;;;;;;;;;;;;
4310;;;;;;;;;;;;;"31,72";"31,72";"31,72"
4314;;;;;;;"32,54";"32,54";"32,54";;;;;;
4315;;;;"24,04";"24,04";"24,04";;;;;;;;;
4319;;;;;;;;;;;;;32.559.999.999.999.900;32.559.999.999.999.900;32.559.999.999.999.900
4329;;;;;;;;;;;;;32.760.000.000.000.000;32.760.000.000.000.000;32.760.000.000.000.000
4355;;;;;;;;;;;;;"29,54";"29,54";"29,54"
4360;;;;;;;;;;;;;"30,74";"30,74";"30,74"
4361;;;;;;;;;;24.200.000.000.000.000;24.200.000.000.000.000;24.200.000.000.000.000;;;
4362;;;;;;;;;;;;;"33,1";"33,1";"33,1"
4363;"15,36";9;"21,72";;;;;;;;;;;;
4376;;;;;;;"28,78";"28,78";"28,78";;;;;;
4378;;;;15.559.999.999.999.900;15.559.999.999.999.900;15.559.999.999.999.900;;;;;;;;;
4383;;;;;;;;;;;;;"30,88";"30,88";"30,88"
4398;;;;;;;;;;"31,68";"31,68";"31,68";;;
4410;;;;;;;;;;;;;29.379.999.999.999.900;29.379.999.999.999.900;29.379.999.999.999.900
4418;;;;;;;;;;;;;25.199.999.999.999.900;25.199.999.999.999.900;25.199.999.999.999.900
4423;;;;;;;;;;;;;"22,96";"22,96";"22,96"
4427;"14,23";"13,48";"14,98";;;;;;;;;;;;
4436;;;;;;;;;;;;;"33,62";"33,62";"33,62"
4439;;;;;;;24.439.999.999.999.900;24.439.999.999.999.900;24.439.999.999.999.900;;;;;;
4441;;;;"24,78";"24,78";"24,78";;;;;;;;;
4444;;;;;;;;;;28.299.999.999.999.900;28.299.999.999.999.900;28.299.999.999.999.900;;;
4446;;;;;;;;;;;;;"24,28";"24,28";"24,28"
4469;;;;;;;;;;;;;"32,18";"32,18";"32,18"
4471;;;;;;;;;;"33,36";"33,36";"33,36";;;
4481;;;;;;;;;;;;;"24,64";"24,64";"24,64"
4486;;;;"30,06";"30,06";"30,06";;;;;;;"20,32";"20,32";"20,32"
4488;;;;;;;"30,98";"30,98";"30,98";;;;;;
4490;21.099.999.999.999.900;"20,08";22.119.999.999.999.900;;;;;;;;;;;;
4498;;;;;;;;;;;;;34.099.999.999.999.900;34.099.999.999.999.900;34.099.999.999.999.900
4510;;;;;;;;;;;;;"6,98";"6,98";"6,98"
4517;;;;;;;;;;"29,04";"29,04";"29,04";;;
4527;;;;;;;;;;;;;"33,2";"33,2";"33,2"
4540;;;;;;;;;;;;;28.433.333.333.333.300;27.199.999.999.999.900;34.599.999.999.999.900
4549;;;;"28,04";"28,04";"28,04";;;;;;;"23,86";"23,86";"23,86"
4551;;;;;;;"21,14";"21,14";"21,14";;;;;;
4553;"14,41";"9,02";"19,8";;;;;;;"32,98";"32,98";"32,98";;;
4558;;;;;;;;;;;;;"34,64";"34,64";"34,64"
4574;;;;;;;;;;;;;"32,06";"32,06";"32,06"
4583;;;;;;;;;;"32,2";"32,2";"32,2";"31,3";31.299.999.999.999.900;31.299.999.999.999.900
4587;;;;;;;;;;;;;"33,72";"33,72";"33,72"
4598;;;;;;;;;;37.239.999.999.999.900;37.239.999.999.999.900;37.239.999.999.999.900;;;
4601;;;;;;;;;;;;;"34,7";"34,7";"34,7"
4612;;;;"24,36";"24,36";"24,36";;;;;;;;;
4613;;;;;;;;;;;;;23.520.000.000.000.000;23.520.000.000.000.000;23.520.000.000.000.000
4615;;;;;;;13.120.000.000.000.000;13.120.000.000.000.000;13.120.000.000.000.000;;;;;;
4616;19;16;22;;;;;;;;;;;;
4625;;;;;;;;;;;;;30.919.999.999.999.900;30.919.999.999.999.900;30.919.999.999.999.900
4646;;;;;;;;;;;;;"20,88";"20,88";"20,88"
4657;;;;;;;;;;;;;"27,42";"27,42";"27,42"
4662;;;;;;;;;;"11,74";"11,74";"11,74";;;
4664;;;;;;;;;;;;;31.520.000.000.000.000;31.520.000.000.000.000;31.520.000.000.000.000
4676;;;;"20,12";"20,12";"20,12";;;;;;;"15,34";"15,34";"15,34"
4678;;;;;;;"16,84";"16,84";"16,84";;;;;;
4680;"17,6";"17,5";"17,7";;;;;;;;;;;;
4689;;;;;;;;;;;;;30.839.999.999.999.900;"30,84";"30,84"
4696;;;;;;;;;;"33,6";"33,6";"33,6";33.760.000.000.000.000;33.760.000.000.000.000;33.760.000.000.000.000
4701;;;;;;;;;;;;;"31,78";"31,78";"31,78"
4722;;;;29.599.999.999.999.900;29.599.999.999.999.900;29.599.999.999.999.900;;;;;;;;;
4725;;;;;;;"29,5";"29,5";"29,5";;;;;;
4726;;;;;;;;;;"33,2";"33,2";"33,2";;;
4733;;;;;;;;;;;;;"33,04";"33,04";"33,04"
4736;;;;;;;;;;;;;"32,04";"32,04";"32,04"
4739;;;;;;;;;;;;;24.020.000.000.000.000;24.020.000.000.000.000;24.020.000.000.000.000
4743;16.259.999.999.999.900;14.440.000.000.000.000;"18,08";;;;;;;;;;;;
4755;;;;;;;;;;"32,38";"32,38";"32,38";;;
4756;;;;;;;;;;;;;"31,62";"31,62";"31,62"
4758;;;;"33,22";"33,22";"33,22";;;;;;;;;
4771;;;;;;;;;;;;;30.560.000.000.000.000;30.560.000.000.000.000;30.560.000.000.000.000
4773;;;;;;;;;;;;;"32,06";"32,06";"32,06"
4778;;;;;;;;;;"34,56";"34,56";"34,56";;;
4789;;;;;;;"5,44";"5,44";"5,44";;;;;;
4791;;;;"34,3";"34,3";"34,3";;;;;;;;;
4795;;;;;;;;;;;;;"33,66";"33,66";"33,66"
4802;;;;;;;;;;;;;26.159.999.999.999.900;26.159.999.999.999.900;26.159.999.999.999.900
4806;"16,61";15.200.000.000.000.000;"18,02";;;;;;;;;;;;
4807;;;;;;;;;;;;;"27,54";"27,54";"27,54"
4814;;;;;;;;;;;;;"35,96";"35,96";"35,96"
4823;;;;;;;;;;;;;"28,68";"28,68";"28,68"
4824;;;;;;;;;;"32,7";"32,7";"32,7";;;
4829;;;;;;;;;;;;;"33,36";"33,36";"33,36"
4839;;;;;;;"30,48";"30,48";"30,48";;;;;;
4840;;;;;;;;;;;;;"33,1";"33,1";"33,1"
4844;;;;;;;;;;;;;"34,06";"34,06";"34,06"
4849;;;;"27,04";"27,04";"27,04";;;;;;;;;
4853;;;;;;;;;;"34,32";"34,32";"34,32";;;
4856;;;;;;;;;;;;;"32,32";"32,32";"32,32"
4869;"18,57";"16,34";20.799.999.999.999.900;;;;;;;;;;;;
4871;;;;;;;;;;"35,48";"35,48";"35,48";;;
4874;;;;;;;;;;;;;28.759.999.999.999.900;28.759.999.999.999.900;28.759.999.999.999.900
4879;;;;;;;;;;;;;"30,56";"30,56";"30,56"
4880;;;;"32,94";"32,94";"32,94";;;;;;;;;
4881;;;;;;;;;;;;;32.019.999.999.999.900;32.019.999.999.999.900;32.019.999.999.999.900
4890;;;;;;;;;;"36,2";"36,2";"36,2";;;
4891;;;;;;;"28,64";"28,64";"28,64";;;;;;
4902;;;;;;;;;;;;;34.019.999.999.999.900;34.019.999.999.999.900;34.019.999.999.999.900
4912;;;;;;;;;;;;;"33,68";"33,68";"33,68"
4919;;;;;;;;;;;;;24.479.999.999.999.900;24.479.999.999.999.900;24.479.999.999.999.900
4932;;;;"29,48";"29,48";"29,48";;;;;;;30.220.000.000.000.000;30.220.000.000.000.000;30.220.000.000.000.000
4933;18.919.999.999.999.900;"15,94";"21,9";;;;;;;;;;;;
4934;;;;;;;"33,06";"33,06";"33,06";;;;;;
4935;;;;;;;;;;"28,72";"28,72";"28,72";;;
4944;;;;;;;;;;;;;"30,92";"30,92";"30,92"
4946;;;;;;;;;;;;;"32,46";"32,46";"32,46"
4960;;;;;;;;;;;;;34.019.999.999.999.900;34.019.999.999.999.900;34.019.999.999.999.900
4963;;;;;;;;;;"34,82";"34,82";"34,82";;;
4966;;;;;;;;;;;;;30.619.999.999.999.900;30.619.999.999.999.900;30.619.999.999.999.900
4976;;;;;;;;;;;;;"33,18";"33,18";"33,18"
4977;;;;31.599.999.999.999.900;31.599.999.999.999.900;31.599.999.999.999.900;;;;;;;;;
4982;;;;;;;;;;;;;"33,02";"33,02";"33,02"
4984;;;;;;;;;;"35,64";"35,64";"35,64";;;
4989;;;;;;;32;32;32;;;;;;
4996;"15,73";"8,78";"22,68";;;;;;;;;;;;
5008;;;;;;;;;;;;;"35,78";"35,78";"35,78"
5009;;;;;;;;;;;;;"28,86";"28,86";"28,86"
5013;;;;"32,54";"32,54";"32,54";;;;;;;;;
5026;;;;;;;;;;"31,1";"31,1";"31,1";;;
5029;;;;;;;;;;;;;25.639.999.999.999.900;"25,64";"25,64"
5032;;;;;;;;;;;;;34.400.000.000.000.000;34.400.000.000.000.000;34.400.000.000.000.000
5039;;;;"34,52";"34,52";"34,52";;;;;;;"24,98";"24,98";"24,98"
5052;;;;;;;22.799.999.999.999.900;22.799.999.999.999.900;22.799.999.999.999.900;;;;35.879.999.999.999.900;35.879.999.999.999.900;35.879.999.999.999.900
5053;;;;;;;;;;;;;"32,36";"32,36";"32,36"
5059;24.049.999.999.999.900;"23,66";24.439.999.999.999.900;;;;;;;;;;;;
5062;;;;;;;;;;"30,72";"30,72";"30,72";;;
5082;;;;;;;;;;"36,74";"36,74";"36,74";;;
5084;;;;;;;"33,56";"33,56";"33,56";;;;;;
5087;;;;;;;;;;;;;31.799.999.999.999.900;31.799.999.999.999.900;31.799.999.999.999.900
5092;;;;;;;;;;;;;"23,36";"23,36";"23,36"
5097;;;;25.560.000.000.000.000;25.560.000.000.000.000;25.560.000.000.000.000;;;;;;;"29,9";"29,9";"29,9"
5099;;;;;;;;;;;;;"27,84";"27,84";"27,84"
5104;;;;;;;;;;"35,38";"35,38";"35,38";;;
5116;;;;;;;32.739.999.999.999.900;32.739.999.999.999.900;32.739.999.999.999.900;;;;;;
5122;"21,64";"16,5";"26,78";;;;;;;;;;"32,44";"32,44";"32,44"
5123;;;;"34,48";"34,48";"34,48";;;;;;;;;
5130;;;;;;;;;;;;;32.879.999.999.999.900;32.879.999.999.999.900;32.879.999.999.999.900
5134;;;;;;;;;;"33,28";"33,28";"33,28";;;
5139;;;;;;;;;;;;;29.720.000.000.000.000;29.720.000.000.000.000;29.720.000.000.000.000
5162;;;;;;;;;;;;;23.159.999.999.999.900;23.159.999.999.999.900;23.159.999.999.999.900
5163;;;;;;;;;;"34,58";"34,58";"34,58";"29,96";"29,96";"29,96"
5165;;;;;;;;;;;;;"31,56";"31,56";"31,56"
5180;;;;;;;"23,5";"23,5";"23,5";;;;;;
5181;;;;;;;;;;;;;"30,8";"30,8";"30,8"
5185;17.900.000.000.000.000;17.900.000.000.000.000;17.900.000.000.000.000;;;;;;;;;;;;
5186;17.200.000.000.000.000;17.200.000.000.000.000;17.200.000.000.000.000;"16,5";"16,5";"16,5";;;;;;;;;
5197;;;;;;;;;;;;;33;33;33
5204;;;;;;;;;;;;;"30,38";"30,38";"30,38"
5207;;;;;;;;;;;;;29.459.999.999.999.900;29.459.999.999.999.900;29.459.999.999.999.900
5209;;;;;;;;;;"29,82";"29,82";"29,82";;;
5211;;;;"34,76";"34,76";"34,76";;;;;;;;;
5223;;;;;;;;;;;;;"34,9";"34,9";"34,9"
5225;;;;;;;"33,42";"33,42";"33,42";;;;;;
5234;;;;;;;;;;34.599.999.999.999.900;34.599.999.999.999.900;34.599.999.999.999.900;;;
5240;;;;"34,56";"34,56";"34,56";;;;;;;;;
5244;;;;;;;;;;;;;27.543.333.333.333.300;"26,68";31.860.000.000.000.000
5246;"28,96";"28,96";"28,96";;;;;;;;;;34.760.000.000.000.000;34.760.000.000.000.000;34.760.000.000.000.000
5249;"8,64";"8,64";"8,64";;;;;;;;;;;;
5266;;;;;;;;;;"32,3";"32,3";"32,3";;;
5268;;;;;;;;;;;;;28.400.000.000.000.000;28.400.000.000.000.000;28.400.000.000.000.000
5276;;;;;;;;;;;;;"33,62";"33,62";"33,62"
5279;;;;;;;;;;;;;30.919.999.999.999.900;30.919.999.999.999.900;30.919.999.999.999.900
5286;;;;;;;"29,98";"29,98";"29,98";;;;;;
5289;30.560.000.000.000.000;30.560.000.000.000.000;30.560.000.000.000.000;;;;;;;;;;;;
5299;;;;;;;;;;33;33;33;;;
5303;;;;"12,5";"12,5";"12,5";;;;;;;;;
5307;;;;;;;;;;;;;24.020.000.000.000.000;24.020.000.000.000.000;24.020.000.000.000.000
5308;;;;;;;34.839.999.999.999.900;34.839.999.999.999.900;34.839.999.999.999.900;;;;;;
5312;"21,92";"21,92";"21,92";;;;;;;;;;;;
5319;;;;;;;;;;"35,26";"35,26";"35,26";;;
5321;;;;;;;;;;;;;"33,36";"33,36";"33,36"
5331;;;;;;;;;;;;;26.340.000.000.000.000;26.340.000.000.000.000;26.340.000.000.000.000
5339;;;;;;;;;;;;;11.440.000.000.000.000;11.440.000.000.000.000;11.440.000.000.000.000
5342;;;;"32,34";"32,34";"32,34";;;;;;;;;
5343;;;;;;;;;;"33,5";"33,5";"33,5";;;
5349;;;;;;;;;;;;;"34,4";"34,4";"34,4"
5352;"20,8";"20,8";"20,8";;;;;;;;;;;;
5370;;;;;;;;;;;;;"30,46";"30,46";"30,46"
5371;;;;;;;19.919.999.999.999.900;19.919.999.999.999.900;19.919.999.999.999.900;;;;;;
5372;;;;;;;;;;;;;"32,78";"32,78";"32,78"
5375;17.240.000.000.000.000;17.240.000.000.000.000;17.240.000.000.000.000;;;;;;;"32,72";"32,72";"32,72";;;
5376;;;;;;;;;;;;;"31,96";"31,96";"31,96"
5386;;;;;;;;;;;;;"33,82";"33,82";"33,82"
5396;;;;"28,38";"28,38";"28,38";;;;;;;;;
5399;;;;;;;;;;;;;"34,66";"34,66";"34,66"
5408;;;;;;;;;;"32,14";"32,14";"32,14";;;
5409;;;;;;;;;;;;;"31,68";"31,68";"31,68"
5415;"16,68";"16,68";"16,68";;;;;;;;;;;;
5428;;;;;;;;;;;;;"29,54";"29,54";"29,54"
5429;;;;;;;;;;"34,6";"34,6";"34,6";;;
5430;;;;;;;30.400.000.000.000.000;30.400.000.000.000.000;30.400.000.000.000.000;;;;;;
5432;;;;"31,36";"31,36";"31,36";;;;;;;;;
5433;;;;;;;;;;;;;1.755.666.666.666.660;"13,98";35.440.000.000.000.000
5439;"16,18";"16,18";"16,18";;;;;;;;;;;;
5446;;;;;;;;;;;;;35.980.000.000.000.000;35.980.000.000.000.000;35.980.000.000.000.000
5452;;;;;;;;;;35.339.999.999.999.900;35.339.999.999.999.900;35.339.999.999.999.900;;;
5459;;;;;;;;;;;;;"33,44";"33,44";"33,44"
5462;;;;;;;;;;;;;"21,78";"21,78";"21,78"
5465;;;;;;;;;;;;;"33,3";"33,3";"33,3"
5466;"30,5";"30,5";"30,5";;;;;;;;;;;;
5470;;;;;;;;;;;;;"34,94";"34,94";"34,94"
5477;;;;"30,34";"30,34";"30,34";;;;;;;;;
5479;;;;;;;;;;32.900.000.000.000.000;32.900.000.000.000.000;32.900.000.000.000.000;;;
5484;;;;;;;;;;;;;"35,2";"35,2";"35,2"
5488;;;;;;;;;;;;;"34,36";"34,36";"34,36"
5493;;;;;;;;;;;;;"34,72";"34,72";"34,72"
5494;;;;;;;23.779.999.999.999.900;23.779.999.999.999.900;23.779.999.999.999.900;;;;;;
5502;"14,92";"14,92";"14,92";;;;;;;;;;;;
5507;;;;;;;;;;"34,86";"34,86";"34,86";;;
5515;;;;;;;;;;;;;32.879.999.999.999.900;32.879.999.999.999.900;32.879.999.999.999.900
5517;;;;32.120.000.000.000.000;32.120.000.000.000.000;32.120.000.000.000.000;;;;;;;;;
5526;;;;;;;;;;;;;"23,68";"23,68";"23,68"
5527;;;;;;;;;;"36,16";"36,16";"36,16";;;
5530;"18,4";"18,4";"18,4";;;;;;;;;;;;
5534;;;;;;;;;;;;;"31,42";"31,42";"31,42"
5540;;;;;;;;;;;;;"26,8";26.799.999.999.999.900;26.799.999.999.999.900
5546;;;;;;;;;;"35,4";"35,4";"35,4";;;
5551;;;;"33,3";"33,3";"33,3";;;;;;;;;
5556;34.379.999.999.999.900;34.379.999.999.999.900;34.379.999.999.999.900;;;;;;;;;;;;
5557;;;;;;;"19,3";"19,3";"19,3";;;;"32,99";"31,48";"34,5"
5565;"21,32";"21,32";"21,32";;;;;;;;;;;;
5572;;;;;;;;;;33.540.000.000.000.000;33.540.000.000.000.000;33.540.000.000.000.000;;;
5582;;;;;;;;;;;;;"34,04";"34,04";"34,04"
5584;;;;"33,92";"33,92";"33,92";;;;;;;;;
5589;;;;;;;;;;;;;"25,74";"25,74";"25,74"
5593;;;;;;;"33,48";"33,48";"33,48";;;;;;
5599;;;;;;;;;;"33,88";"33,88";"33,88";31.359.999.999.999.900;31.359.999.999.999.900;31.359.999.999.999.900
5603;;;;;;;;;;;;;26.380.000.000.000.000;26.380.000.000.000.000;26.380.000.000.000.000
5611;;;;;;;;;;;;;"33,68";"33,68";"33,68"
5618;;;;"33,5";"33,5";"33,5";;;;;;;;;
5619;"24,34";"24,34";"24,34";;;;;;;;;;;;
5628;"15,18";"15,18";"15,18";;;;;;;;;;;;
5631;;;;;;;;;;;;;32.446.666.666.666.600;"28,38";"33,26"
5632;;;;;;;;;;;;;31.839.999.999.999.900;31.839.999.999.999.900;31.839.999.999.999.900
5637;;;;;;;32.699.999.999.999.900;32.699.999.999.999.900;32.699.999.999.999.900;;;;;;
5643;;;;;;;;;;;;;"31,42";"31,42";"31,42"
5652;;;;;;;;;;"25,68";"25,68";"25,68";;;
5655;;;;;;;;;;;;;"35,4";"35,4";"35,4"
5661;;;;;;;;;;;;;33.099.999.999.999.900;33.099.999.999.999.900;33.099.999.999.999.900
5662;;;;30.020.000.000.000.000;30.020.000.000.000.000;30.020.000.000.000.000;;;;;;;;;
5673;;;;;;;;;;;;;33.459.999.999.999.900;33.459.999.999.999.900;33.459.999.999.999.900
5677;;;;;;;;;;3.468.000.000.000.000;3.468.000.000.000.000;3.468.000.000.000.000;"32,6";"32,6";"32,6"
5679;;;;;;;;;;;;;"35,1";"35,1";"35,1"
5682;"26,4";"26,4";"26,4";;;;;;;;;;;;
5688;;;;;;;"30,62";"30,62";"30,62";;;;;;
5689;;;;;;;;;;;;;"32,92";"32,92";"32,92"
5692;"15,48";"15,48";"15,48";;;;;;;;;;;;
5703;;;;"30,8";"30,8";"30,8";;;;;;;;;
5706;;;;;;;;;;"34,28";"34,28";"34,28";;;
5721;;;;;;;;;;;;;"30,28";"30,28";"30,28"
5723;;;;;;;;;;;;;"29,2";"29,2";"29,2"
5734;;;;;;;;;;;;;27.860.000.000.000.000;"27,86";"27,86"
5736;;;;;;;;;;"34,3";"34,3";"34,3";;;
5738;;;;"33,7";"33,7";"33,7";;;;;;;;;
5741;;;;;;;;;;;;;29.560.000.000.000.000;29.560.000.000.000.000;29.560.000.000.000.000
5745;"24,66";"24,66";"24,66";;;;;;;;;;34.519.999.999.999.900;34.519.999.999.999.900;34.519.999.999.999.900
5751;;;;;;;24.299.999.999.999.900;24.299.999.999.999.900;24.299.999.999.999.900;;;;;;
5755;"17,9";"17,9";"17,9";;;;;;;;;;3.632.000.000.000.000;3.632.000.000.000.000;3.632.000.000.000.000
5758;;;;;;;;;;;;;"32,42";"32,42";"32,42"
5759;;;;;;;;;;;;;"36,96";"36,96";"36,96"
5764;;;;;;;;;;"33,74";"33,74";"33,74";;;
5774;;;;"31,86";"31,86";"31,86";;;;;;;;;
5786;;;;;;;;;;;;;"34,08";"34,08";"34,08"
5788;;;;;;;;;;;;;"32,44";"32,44";"32,44"
5789;;;;;;;;;;;;;"32,8";"32,8";"32,8"
5798;;;;;;;"30,62";"30,62";"30,62";"32,94";"32,94";"32,94";;;
5801;;;;"34,3";"34,3";"34,3";;;;;;;;;
5804;;;;;;;;;;;;;30.919.999.999.999.900;30.919.999.999.999.900;30.919.999.999.999.900
5809;"21,08";"21,08";"21,08";;;;;;;;;;;;
5813;;;;;;;;;;;;;"35,08";"35,08";"35,08"
5817;;;;"36,64";"36,64";"36,64";;;;;;;"34,12";"34,12";"34,12"
5818;"16,32";"16,32";"16,32";;;;;;;;;;;;
5819;;;;;;;;;;"35,16";"35,16";"35,16";;;
5825;;;;;;;;;;;;;"33,28";"33,28";"33,28"
5841;;;;"33,56";"33,56";"33,56";;;;;;;;;
5844;;;;;;;"30,9";"30,9";"30,9";32.739.999.999.999.900;32.739.999.999.999.900;32.739.999.999.999.900;;;
5845;;;;;;;;;;;;;31.370.000.000.000.000;31.040.000.000.000.000;31.700.000.000.000.000
5849;;;;;;;;;;;;;"34,92";"34,92";"34,92"
5859;;;;;;;;;;;;;"32,14";"32,14";"32,14"
5864;;;;;;;;;;"36,84";"36,84";"36,84";;;
5871;;;;;;;;;;;;;34.739.999.999.999.900;"33,9";"35,58"
5872;"22,42";"22,42";"22,42";;;;;;;;;;;;
5878;;;;"32,42";"32,42";"32,42";;;;;;;;;
5881;18.659.999.999.999.900;18.659.999.999.999.900;18.659.999.999.999.900;;;;;;;;;;;;
5889;;;;;;;;;;;;;35.480.000.000.000.000;35.480.000.000.000.000;35.480.000.000.000.000
