Step;name: no_q_coord - Train/train_Tot_reward;name: no_q_coord - Train/train_Tot_reward__MIN;name: no_q_coord - Train/train_Tot_reward__MAX;name: no_coord_w - Train/train_Tot_reward;name: no_coord_w - Train/train_Tot_reward__MIN;name: no_coord_w - Train/train_Tot_reward__MAX;name: inverse_mask - Train/train_Tot_reward;name: inverse_mask - Train/train_Tot_reward__MIN;name: inverse_mask - Train/train_Tot_reward__MAX;name: true_mask - Train/train_Tot_reward;name: true_mask - Train/train_Tot_reward__MIN;name: true_mask - Train/train_Tot_reward__MAX;name: eval - Train/train_Tot_reward;name: eval - Train/train_Tot_reward__MIN;name: eval - Train/train_Tot_reward__MAX
1320;;;;;;;;;;;;;"8,68";"8,68";"8,68"
1326;;;;;;;;;;"9,08";"9,08";"9,08";;;
1327;5.640.000.000.000.000;0;11.280.000.000.000.000;"6,24";"6,24";"6,24";"9,6";"9,6";"9,6";;;;"9,6";"9,6";"9,6"
1374;;;;;;;;;;;;;"9,66";"9,66";"9,66"
1376;;;;;;;;;;;;;"8,56";"8,56";"8,56"
1383;;;;;;;;;;;;;"6,3";"6,3";"6,3"
1389;;;;;;;;;;0;0;0;;;
1391;61.899.999.999.999.900;0;12.379.999.999.999.900;"6,76";"6,76";"6,76";"6,76";"6,76";"6,76";;;;"5,04";"5,04";"5,04"
1437;;;;;;;;;;;;;15.940.000.000.000.000;15.940.000.000.000.000;15.940.000.000.000.000
1439;;;;;;;;;;;;;15.520.000.000.000.000;15.520.000.000.000.000;15.520.000.000.000.000
1447;;;;;;;;;;;;;"8,54";"8,54";"8,54"
1452;;;;;;;;;;"5,5";"5,5";"5,5";;;
1454;"2,9";0;"5,8";0;0;0;0;0;0;;;;0;0;0
1500;;;;;;;;;;;;;24.759.999.999.999.900;24.759.999.999.999.900;24.759.999.999.999.900
1503;;;;;;;;;;;;;"9,02";"9,02";"9,02"
1510;;;;;;;;;;;;;"5,72";"5,72";"5,72"
1516;;;;;;;;;;"15,98";"15,98";"15,98";;;
1517;"3,59";0;"7,18";"17,98";"17,98";"17,98";14.440.000.000.000.000;14.440.000.000.000.000;14.440.000.000.000.000;;;;"13,36";"13,36";"13,36"
